shot_num,team,distant_to_goal,play_pattern,duration,angle_to_goal,players_between_goal,within_1,within_5,within_10,goal
159,Athletic Bilbao,10.823123393919152,From Free Kick,0.9939,1.0787651752271579,1,2,2,9,0
160,Barcelona,32.28157369150395,Regular Play,0.7311,0.12396175823199339,1,0,2,5,0
161,Barcelona,11.088733020503291,From Free Kick,0.8977,1.0636978224025597,1,0,1,3,0
162,Barcelona,31.140006422606923,From Free Kick,0.3527,0.4016581678062861,4,0,1,6,0
163,Barcelona,28.52718002186687,From Free Kick,0.5002,0.43380572433369674,3,0,2,7,0
164,Athletic Bilbao,10.49380769787593,From Corner,0.113,0.24497866312686414,4,0,4,11,0
165,Barcelona,12.382245353731289,From Keeper,0.0812,1.1576674945164949,2,0,1,3,0
166,Barcelona,7.1175838597096925,From Throw In,0.472198,0.564904402030777,1,0,2,6,1
167,Barcelona,18.24335495461293,From Free Kick,0.535,0.9188288163467658,1,0,1,2,0
168,Athletic Bilbao,25.785654926722337,Regular Play,1.499057,0.7754482430046432,3,0,0,6,0
169,Athletic Bilbao,14.458561477546787,Regular Play,0.708999,0.28473043852271235,2,0,2,8,0
170,Barcelona,16.78689965419464,From Throw In,0.6107,0.024686342055599317,1,0,4,4,0
171,Athletic Bilbao,35.721282171837004,From Keeper,1.2435,0.2456809102024374,2,0,1,3,0
172,Barcelona,13.700000000000003,Regular Play,0.500265,0.28407437825928533,1,0,1,3,0
173,Barcelona,14.44506836259351,From Corner,0.0671,0.9399987088286491,2,0,2,6,0
174,Barcelona,23.945354455509733,From Corner,0.880159,0.40489178628508343,5,0,1,3,0
175,Barcelona,15.597756248896829,Regular Play,0.684,0.03288287980551199,1,0,3,8,1
176,Real Zaragoza,8.94035793466906,From Free Kick,0.134,0.17863100651394886,1,0,2,5,0
177,Real Zaragoza,8.421995013059558,From Corner,0.0096,0.2676163047847621,3,0,5,9,0
178,Real Zaragoza,16.497575579460158,From Corner,0.082,0.4860319293400961,2,0,4,6,1
179,Barcelona,13.138112497615472,From Corner,0.2708,0.22512567616292373,4,0,1,6,1
180,Real Zaragoza,22.687661845152753,Regular Play,0.943278,1.0625813360782357,1,0,0,2,0
181,Barcelona,14.8492424049175,Regular Play,0.3755,1.4589653972397774,1,0,2,3,0
182,Real Zaragoza,27.79154547699714,Regular Play,1.427977,0.8889525106179924,1,0,2,3,0
183,Barcelona,21.91643219139466,Regular Play,1.032899,0.49595575468416087,3,0,1,3,1
184,Real Zaragoza,15.456390264224053,From Free Kick,0.6732,0.480595138807211,1,0,2,5,0
185,Real Zaragoza,12.671621837791715,From Corner,1.368958,0.6652073327646336,1,0,2,4,0
186,Real Zaragoza,11.36353818139403,From Throw In,0.1631,0.24289533280760459,3,0,3,7,0
187,Real Zaragoza,21.716583525039102,From Corner,0.3742,0.41617199793022386,2,0,2,5,0
188,Real Zaragoza,9.004998611882177,From Corner,0.028,0.701259922866277,2,1,3,9,0
189,Real Zaragoza,7.462573282722252,From Corner,0.910093,0.9037239459029816,3,2,5,9,0
190,Barcelona,22.629184695874482,Regular Play,1.029401,0.6575282448374485,2,0,1,6,0
191,Real Zaragoza,26.851629373280122,From Free Kick,0.1313,0.4349301917454936,2,0,3,5,0
192,Brighton & Hove Albion WFC,38.27531841800928,Regular Play,1.916706,0.6632029927060933,2,0,0,1,0
193,Manchester City WFC,21.93171219946131,From Goal Kick,0.169021,0.870903457075653,0,0,1,3,0
194,Manchester City WFC,10.63014581273465,Regular Play,0.148,0.9420000403794636,0,0,3,3,0
195,Manchester City WFC,15.033296378372908,From Corner,0.882167,0.19739555984988075,2,0,4,8,0
196,Manchester City WFC,12.206555615733702,Regular Play,1.384269,0.2914567944778671,1,0,2,4,0
197,Manchester City WFC,15.132745950421556,Regular Play,0.2391,0.3805063771123649,4,0,2,7,0
198,Manchester City WFC,34.92849839314596,Regular Play,1.260619,0.3392926144540447,2,0,1,4,0
199,Manchester City WFC,23.323807579381203,Regular Play,0.939804,0.6747409422235526,0,0,1,4,1
200,Manchester City WFC,18.35755975068582,Regular Play,0.77628,0.6823165548747481,1,0,2,4,0
201,Brighton & Hove Albion WFC,23.08679276123039,Regular Play,1.435466,0.2551823906208184,2,0,2,5,0
202,Manchester City WFC,12.206555615733702,From Corner,0.735672,0.8329812666744317,3,0,2,8,0
203,Brighton & Hove Albion WFC,16.76305461424021,Regular Play,0.788866,0.06241880999595735,1,0,1,3,0
204,Brighton & Hove Albion WFC,29.832867780352597,Regular Play,0.252,0.10308160852270024,1,0,3,5,0
205,Manchester City WFC,11.045361017187261,From Throw In,0.551788,0.4266274931268761,1,0,1,4,1
206,Brighton & Hove Albion WFC,35.510561809129406,From Kick Off,3.156073,0.27829965900511133,3,0,0,4,0
207,Brighton & Hove Albion WFC,19.697715603592208,Regular Play,0.762554,0.5880026035475675,1,0,2,7,0
208,Manchester City WFC,13.601470508735444,From Free Kick,0.1802,0.7188299996216245,1,0,1,5,0
209,Brighton & Hove Albion WFC,19.4164878389476,Regular Play,0.3434,0.7531512809621944,1,0,1,2,0
210,Brighton & Hove Albion WFC,7.0710678118654755,Regular Play,0.7652,0.40489178628508343,1,0,1,2,0
211,Brighton & Hove Albion WFC,16.1245154965971,Regular Play,0.796641,0.12435499454676144,1,0,0,1,0
212,Manchester City WFC,31.064449134018133,From Counter,1.584452,0.6794138054078485,1,0,1,2,1
213,Manchester City WFC,21.095023109728988,Regular Play,1.549654,0.09495170634275632,3,0,1,3,1
214,Brighton & Hove Albion WFC,15.811388300841896,From Throw In,0.230673,0.06656816377582381,1,0,3,5,0
215,Manchester City WFC,14.317821063276353,Regular Play,0.6402,0.982793723247329,2,0,0,4,0
216,Manchester City WFC,10.770329614269007,Regular Play,1.375178,0.982793723247329,1,0,1,2,0
217,Brighton & Hove Albion WFC,10.816653826391969,From Corner,0.0572,0.83798122500839,3,0,5,7,0
218,Brighton & Hove Albion WFC,10.198039027185569,From Corner,0.1023,0.5404195002705842,3,0,4,13,0
219,Brighton & Hove Albion WFC,40.024992192379,Regular Play,1.72157,0.12750955821523827,2,0,1,4,0
220,Manchester City WFC,24.0,From Goal Kick,1.674274,0.16514867741462683,1,0,0,4,0
221,Brighton & Hove Albion WFC,9.486832980505138,From Counter,2.933561,0.6610431688506869,1,0,1,2,0
222,Manchester City WFC,25.632011235952593,From Goal Kick,1.447765,0.20539538918976738,2,0,3,8,0
223,Manchester City WFC,9.486832980505138,Regular Play,0.2708,0.11065722117389565,1,0,1,5,0
224,Manchester City WFC,15.811388300841896,Regular Play,1.492812,0.7853981633974483,1,0,1,1,0
225,Manchester City WFC,4.47213595499958,Regular Play,0.839125,0.982793723247329,1,0,3,5,1
226,Manchester City WFC,9.219544457292887,From Throw In,0.897475,0.960070362405688,1,0,1,4,1
227,United States Women's,13.871553626036276,From Corner,0.680257,0.08506553996864495,7,0,5,11,0
228,United States Women's,9.167878707749141,From Corner,0.2531,0.012194517448251984,1,1,4,8,0
229,United States Women's,9.042676594902636,From Corner,1.1321,0.22164956297867797,1,0,3,5,0
230,United States Women's,22.7437903613272,From Throw In,0.7432,0.5654838881548246,1,0,2,8,0
231,United States Women's,22.95844071360248,From Corner,0.2578,0.7606682236612732,2,0,1,2,0
232,Netherlands Women's,30.735809733924373,From Corner,2.1578,0.23923159996366056,4,0,1,3,0
